id,Job Title,Education,Experience,superlative_score,text_inconsistency_score,reciprocity_score,timeline_inconsistency_score
538,BUSINESS PROCESS ANALYST,"Attended countywide Discovery Education professional development as a member of the Teacher Leader Corps and facilitated school-
based professional development modules in student engagement through the use of technology.
 Education and Training
Master of Arts Degree : Education East Carolina University Education
Bachelor of Science Degree : Education The University of North Carolina at Greensboro Education
Skills
project management, project coordination, administrative functions, content creation, employee relations, systems administration, internal audit, risk
management, curriculum development and facilitation, operations support
 ","Experience
03/2017 to Current
Business Process Analyst Company Name ï¼​ City , State
Design and implement internal audit practices to identify, mitigate and resolve HR exposure.
 02/2015 to 10/2015
Operations and HR Specialist Company Name ï¼​ City , State
Managed all aspects of the hiring process from recruiting to onboarding, including administration of the applicant tracking system,
preparation of employment agreements and new hire orientation.
 ",0.56083983,0.407865546,0,0
539,MORTGAGE BANKING DOCUMENT MORTGAGE BANKING DOC OPS SPECIALIST,"Education
Bachelors of Business Administration : Computer Information Systems Northeast Louisiana University Computer Information Systems
Master of Business Administration : Human Resource Management University of Phoenix - City , State Human Resource Management
Associate of Applied Science : Process Technology Louisiana Delta Community College - City , State Process Technology
Skills
Administrative support, automation, automotive, banking, budgets, interpersonal, Interpersonal skills, oral, hardware, Customer Service, Customer
Care, databases, direction, documentation, email, financial, forecasting, laboratory procedures, team lead, Team Leader, lighting, Lotus Notes,
managing, Access, Excel, PowerPoint, Windows XP, Microsoft Word, Negotiation, organizational skills, PC skills, policies, processes, quality,
reporting, Research, Sales, SAP, scheduling, staffing, tax, taxes, Tax preparer, tax preparation, team work, phone, time management, trainer,
websites, Workbench, written communication
 ","Experience
Mortgage Banking Document Mortgage Banking Doc Ops Specialist
March 2009 to Current Company Name - City , State
Update procedures as needed and support all team lead functions and reporting.
 ",0.43959078,0.333948548,0,0
540,YOUTH ADVOCATE,"YOUTH ADVOCATE
Professional Summary
Motivated, enthusiastic, responsible and goal-oriented young educator seeking new opportunities in education and educational background of
Psychology and Sociology. Teacher 06/2011 to 04/2015 Company Name City , State
Develop individual educational plans (IEPs) designed to promote students' educational, physical, or social development.
 Confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual education plans (IEPs).
 Modify the general kindergarten or elementary education curriculum for special-needs students.
 Confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual education plans (IEPs).
 Develop individual educational plans (IEPs) designed to promote students' educational, physical, or social development.
 Teacher 06/2003 to 07/2007 Company Name City , State
Confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual education plans (IEPs).
 Develop individual educational plans (IEPs) designed to promote students' educational, physical, or social development.
 Encouraged parents to take an active role in their child's education.
 Develop individual educational plans (IEPs) designed to promote students' educational, physical, or social development.
 Confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual education plans (IEPs).
 Bachelors Degree in Psychology and Sociology
Master's in School Administration/Supervision
45+ hours of Masters level course in school counseling
Certified in Special Education K-12
Passed the Praxis Series
10 years of related teaching experience
Five years of related mental health experience
Experience with dealing with families and conducting meetings
Silver National Career Readiness Certificate
Education
Master of Education May 2016 LIBERTY UNIVERSITY City , State GPA: GPA: 3.57 GPA: 3.57
Bachelor of Arts : Psychology/Sociology May 2003 NORTH CAROLINA WESLEYAN COLLEGE City , State GPA: GPA: 2.72
Psychology/Sociology GPA: 2.72
Master of Education School Administration Jun 2006 CAMBRIDGE COLLEGE City , State GPA: GPA: 3.82 GPA: 3.82
High School Diploma Jun 1997 ","Motivate and able to bridge student experiences, academic lessons and subjects
to real- life situations. Core Qualifications
Critical thinker Low income and homeless populations
Problem resolution ability Client engagement
Client/family focused Quick learner
Solution-focused counseling Case management
Self-starter Compassionate
Dedicated patient advocate Reliable transportation
Experience
Youth Advocate 09/2015 Company Name City , State
Work with youth ages 12-18 that are homeless (for various reasons), living in shelter with personal, social, academic, and life goals.
 ",0.2678205,0,0,0.342857143
541,TRIP COORDINATOR,"Determine the degree of risk/liability with contract compliance/non-compliance based upon annual spend with vendors and suppliers Lead in
Operational Changes and communication to the entire company Management of the two fleet (Lear 35's) for passenger operations in
quoting, reporting Profits and reconciliation of the expenses for the related operations.
 Education
05/2009
Masters of Business Administration : Financial Leadership
Franklin University - City , State
Financial Leadership
12/2007
Bachelor Degree : Science in Financial Management
Franklin University - City , State
Science in Financial Management
12/2007
Bachelor Degree : Science Business Administration
Franklin University - City , State
Science Business Administration
Skills
Ambulance, balance, billing, Budget development and management, budgets, budget, Bi, coaching, competitive, contracts, Corporate Finance,
Cost control, Executive Management, expense reporting, Finance, financial, Financial accounting, Financial Analysis, analyze financial information,
Financial Analyst, financial forecasting, financial forecasts, Managing, mentoring, Microsoft Products, Excel, Outlook, NT, Microsoft Word, month
end close, negotiating, Optimization, presenting, presentations, pricing, pricing analysis, Process Management, Procurement, profit, purchasing,
Relationship Management, reporting, sales, scheduling, Sourcing Strategies, strategic, annual reports
 ","Professional Summary
Skills
EXECUTIVE SUMMARY
Financial Analyst with extensive experience in all aspects of corporate expenses. CORE QUALIFACTIONS
Financial accounting procedures in Corporate Finance
Reporting and presentations
Cost control, Procurement and pricing analysis
Budget development and management
Sourcing Strategies Development
Performance Optimization
Process Management
Effective Communication
Relationship Management
Document & Reporting
Advanced with Microsoft Products for reporting and presenting
Work History
01/2018 to 04/2018
Trip Coordinator Company Name â€“ City , State
Scheduled aircraft and coordinate flight crew to accomplish charter requests
Resolve operational failures with customers, owners and flight crews
Interpret both current weather and weather forecasts provided by the FAA
Familiarity with FAR/AIM, Part 135 Rules and Regulations
Utilize FOS/NT, Microsoft Word, Excel and Outlook
Responsible for improving and simplifying operational procedures for both sales and operations
01/2002 to 12/2012
Manager Company Name â€“ City , State
Accountable for 2 departments operating budget, including developing annual operating plan, expense forecasts and other executive
management reporting.
 ",0.56661624,0.633416169,0,0
542,ACCOUNTANT,"Education
Master of Business Administration (MBA) : Finance and Marketing , 2008 ICFAI University India Finance and Marketing
Bachelors of Commerce (B.com) : tax , 2005 Calicut University - State , India tax
Interests
STATE MEDIA W.L.L DOHA QATAR Job Role/Department : Senior Accountant /Finance ","ACCOUNTANT
Summary
Currently looking for Long Term/Permanent/Contract Opportunity Financial Statement Management Reporting Cost Accounting Asset
Management Budgeting & forecasting Cash Flow Management Payroll Functions Audit Preparation Inventory Control
CAREER SUMMURY A competent, efficient and highly motivated professional with hands on experienced in the fields of Finance and
Connected department. Over 8 years experience (5 years in Qatar) in a multi-cultural environment. Working knowledge in Delta Software Doha Qatar Proficiency in Microsoft Â​ Office
Experience
Accountant , 01/2009 to 05/2012 Company Name
Positive Trading and Contracting is MEP contractors generally undertake design, supply, installation and maintenance of all
electromechanical works and Trading.
 ",0.572823,0.755163984,0,0
543,BRANCH BANKER III,"Pursue on-going education of SunTrust products, services, and other lines of business.
 Education
August 1999
High School Diploma :
Eastgate Christian Academy - City
Skills
banking, basic, c, charts, credit, client, clients, customer service, filing, Financial, insurance, investments, meetings, mail, office, Policies, problem
resolution, processes, quality, maintain files, recording, recruiting, relationship management, retail, risk management, Sales, staffing, Store
Management, Supervisor, telephone, phone, type
 ","Skills
Team leadership Positive Attitude
Self-motivated Strong work ethic
Strong verbal communication Excellent Customer Service skills
Work History
01/2006 to Current
Branch Banker III Company Name â€“ City , State
Proactively initiate, develop, and manage long-term, profitable relationships.
 Receive and process credit and employment verifications and records information obtained.
Perform routine transactions at an on-line terminal.
 10/2004
Financial Services Reprsentative Company Name â€“ City , State
Provide a superior client service experience while assisting in and supporting all aspects of service and sales-related activities in the branch.
 ",0.54816574,0,0,0
544,CONSUMER BANKING DEFAULT MANAGEMENT SUPERVISOR,"Education
Bachelor of Science : Finance University of Nevada, Las Vegas ï¼​ City , State , United States
Skills
10-key, accounting, budget, BUSINESS ADMINISTRATION, c, call center, cash deposits, change management, coaching, com, CPI, client,
clients, customer satisfaction, customer service, customer service skills, database, financial, hiring, Hogan, HR, listening, Lotus Notes, Director,
Managing, marketing, meetings, Microsoft Access, Microsoft Excel, Office, Microsoft Power Point, SharePoint, Microsoft Word, next,
Organizational Development, Payroll, personnel, policies, process improvement, procurement, progress, protocols, Quality Assurance, recruiting,
reporting, sales, sales reports, Scheduling, settlements, Staffing, strategic, Strategic Management, Supervisor, Supervising, supervision, technical
support, phone, Transportation
 ","Experience
CONSUMER BANKING DEFAULT MANAGEMENT SUPERVISOR
October 2007 to Current Company Name ï¼​ City , State
Supervising a team of up to 7 - 10 collectors in a proactive and caring way to achieve the delinquency targets provided by upper
management.
 Assuring positive customer experience by training representatives in customer service techniques, monitoring the performance of staff,
complying with customer requests to the extent possible, and solving problems quickly and to the satisfaction of the customer.
 ",0.41256818,0,0,0
545,Objective,"Information Technology Instructor and School Technology Coordinator 11/2011 to Current Company Name City , State
Responsible for meeting the educational needs of high school students. Education
Master of Science : Computer Information Systems 2015 Murray State University City , State Project Management and Data Analysis Emphasis
Master of Arts : Education 2013 Murray State University City , State Educational Technology Emphasis
Bachelor of Science : Education 2011 Murray State University City , State
Middle School Science and Social Studies Emphasis
GPA: 3.69
Information Technology Certifications
Comptia - Strata IT Fundamentals
Microsoft Technology Associate - Network Fundamentals
Microsoft Technology Associate -Â Windows O.S. Fundamentals
Microsoft Technology Associate - Software DevelopmentÂ
Microsoft Technology Associate - Web Development
Skills
Google and Microsoft suite experience through coursework and classroom implementation.
 Familiar with both the educational and information technology fields.
 ","ADJUNCT INFORMATION TECHNOLOGY INSTRUCTOR
Experience
Adjunct Information Technology Instructor 01/2014 to Current Company Name City Experience in both project management and educating teachers on the use of technology in the classroom .
 ",0.40184772,0,0,0
546,REGIONAL RECRUITER,"Â
Healthcare and Education Coordinator 08/2012 to 01/2014 Company Name City
Principal point of contact for all healthcare and education queries for citizens and military of the United Kingdom serving across the USA.
 Ensured military and United Kingdom based citizen's healthcare and education claims are checked and authorized for payment, adjusting as
necessary, and negotiated discounts with providers when appropriate.
 Conducted scheduled healthcare and education reviews and updates of British Defense Staff, created action plans for development, and
submitted to the Healthcare and Education Manager for final approval.
 Monitored students' educational progress with individual charts and files.
 Education
Bachelor of Arts : Sociology May 2008 University of Maryland City , State
Major in Sociology, Minor in Psychology
3.6 GPA
Nursing school prerequisites : Anatomy and Physiology I and II, Anatomy and Physiology Lab I and II, Microbiology
Associate of Science : Nursing 2018 Baltimore County Community College City , State Registered Nursing Program, Spring of 2017
Languages
Conversational Spanish speaking, Intermediate reading and writing. ","Experience
Regional Recruiter 10/2016 to Current Company Name City , State
Carry out the full life-cycle recruitment process for a wide range of positions to include posting, sourcing, reviewing resumes and screening
candidates, making offers, and following up
Manage relationships with Posts delivering effective communication that supports the completion of recruitment activities and tasks
Handle administrative related tasks including corresponding with hiring managers and candidates, record retention for recruitments;
maintaining applicant tracking system activities related to open and closing of requisitions, entering complete and accurate data for reporting,
and other relevant tasks
Constantly evaluating area for process efficiency and identifying areas for development in guidance and reporting feedback from customers
to senior managers
Ensure the recruitments are effectively meeting the business needs and completed following appropriate procedures while meeting response
time defined in the Service Level Agreements
Partner with Hiring Managers to have a thorough understanding of the vacancy and the actions and customisations required to have a
successful recruitment campaign
Work with line managers to post open positions internally and externally, and coordinate candidate process up to and including on-boarding
Perform other related duties as required and assigned. Enrolled British employees and families in medical, dental and prescription benefits plans, and terminated plans at the conclusion of
employment or duty.
 ",0.5114364,0,0,0.228571429
547,MANAGER OF FINANCE,"Education
Bachelor of Science : Organizational Management , 1 2016
Charleston Southern University - City , State
Organizational Management Currently enrolled in the CAPs online program North Carolina license, Casualty Insurance
North Carolina license, Property Insurance 2009 Charlotte, NC Certification, Store management and operations 2007 Foodlion Management
Wadesboro, NC Certification, Restaurant management and Operations 2004 Jocks and Jills Sports restaurant Charlotte, NC Associate of
Science : 1 2009
City , State
Information Technology Certification, Medical Assistant 1995 : ","Skills
Work History
Manager of Finance , 01/2008 to 01/2012
Company Name â€“ City , State
Developing crucial business relations for the success of the company.
 ",0.54466134,0.671492909,0,0.342857143
548,TEACHER ASSISTANT,"Special Education Teacher Assistant Aug 2013 to Jul 2014
Company Name ï¼​ City , State
Provided extra assistance to students with special needs, such as non-English-speaking students or those with physical and mental
disabilities.
 Education and Training
Certificate in Administrative Assistant 2016 Wake Tech Community College ï¼​ City , State
Certificate 2004 Wake Tech Community College ï¼​ City , State
High School Diploma 2001 Continental Academy High School ï¼​ City , State
Certifications
Nursing Assistant
North Carolina Interventions
Skills
Organizational Skills Written Communications Skills Verbal Communication Skills Cultural AwarenessÂ ","Experience
Teacher Assistant Sep 2016 to Current
Company Name ï¼​ City , State
Help teacher prepare materials and assignments for instruction.
 ",0.5859746,0,0,0
549,PATIENT CARE TECHNICIAN,"Education and Training
June 25, 2017
Bachelors of Science Degree : Nursing Chamberlain University ï¼​ City , State Nursing
May 6, 2011
Associates of Arts Florida State College of Jacksonville
Interests
Registered Nurse- State of Florida July 18, 2017 *American Heart Association Basic Life Support (BLS) Certification Preceptorship at UF
HEALTH EMERGENCY DEPARTEMENT: *Stabilized and managed basic life support of high acuity patients. *Initiated patient education, including how to manage illness/injury
by explaining post treatment home care needs, diet, exercise, self-administration of medication, as well as referrals. *Initiated patient
education, including how to manage illness/injury by explaining post treatment home care needs, diet, exercise, self-administration of
medication, as well as referrals. ","Experience
12/2016 to 07/2017
Patient Care Technician
Interviewed patients, measured vital signs, and documented all information on patients' EMR.
 Clinical Experience: Over 400
hours UF Health *Transitional Care Unit *Neurological Medical Surgical *Orthopedic Medical Surgical *Labor and Delivery *Neonatal Intensive
Care Unit *Neonatal Intensive Care Unit, Step down *Pediatric Emergency Department *Intensive Care Unit Northeast Florida State Hospital
*Mental Health Nursing Memorial Specialty Hospital *Medical Surgical
Skills
anesthesia, C, clients, policies, presenting, recording, safety, surgery, therapy, vital signs, x-rays
Additional Information
Licensure: *Registered Nurse- State of Florida July 18, 2017 *American Heart Association Basic Life Support (BLS) Certification
Preceptorship at UF HEALTH EMERGENCY DEPARTEMENT: *Stabilized and managed basic life support of high acuity patients.
 Clinical Experience: Over 400 hours UF Health *Transitional Care Unit *Neurological Medical Surgical
*Orthopedic Medical Surgical *Labor and Delivery *Neonatal Intensive Care Unit *Neonatal Intensive Care Unit, Step down *Pediatric
Emergency Department *Intensive Care Unit Northeast Florida State Hospital *Mental Health Nursing Memorial Specialty Hospital
*Medical Surgical
Awards: *Salutatorian, and Magna Cum Laude graduate from Chamberlain University. ",0.6311231,0.524486931,0,0.314285714
550,BRANCH BANKER,"Education and Training
Diploma Hammonton High School ï¼​ City , State
Skills
Book, coach, customer service, Detail oriented, documentation, financial, meetings, Excel, Microsoft Word, policies, retail, selling, sales
 ","Skills
Notary Medallion Microsoft Word, Excel Detail oriented
Experience
07/2004 to Current
Branch Banker Company Name ï¼​ City , State
Provide exceptional customer service to all business and retail customers Understand financial needs of customers while building and
deepening relationships Open and service customer accounts in an efficient and professional manner Actively participate in outbound sales
efforts to expand customer base Prepare and participate in weekly team sales meetings and daily huddles Loan Officer-Applications,
Submissions, Customer documentation, Close, Book.
06/2003 to 07/2004
Branch Supervisor Company Name ï¼​ City , State
Managed and coach team while maintaining workforce stability by insuring knowledge of bank products, procedures, and polices Managed
daily branch operations including but not limited to cash standards, regulations, compliance and weekly, monthly, quarterly, and annual
audits Understand financial needs of customers while building and deepening relationships by cross-selling bank products and services
Develop and expand new and existing consumer and commercial accounts.
 ",0.5524865,0.655196889,0,0
551,HEALTHCARE CLINICAL ANALYST,"Education
12/2005
Florida State College
Nursing
ADN
5/1998
Emory University
Health education and Behavioral Research
Masters of Public Health
5/1995
Harvard University
Special Student Program
5/1994
Emory University
Psychology
BA GPA: Phi Beta Kappa
Publications
Hann, D., Baker, F., Denniston, M., Winter, K (2004). ","HEALTHCARE CLINICAL ANALYST
Professional Experience
November 2012 to September 2015
Company Name City , State Healthcare Clinical Analyst
I entered the insurance arena with no insurance experience and I now successfully serve as a leader in the appeals deparement. ",0.71852213,0.433163409,0,0
552,INFORMATION TECHNOLOGY MANAGER,"Education
Master of Science : Management Information Systems , May 2003 University of Illinois - City , State Management Information Systems
Bachelor of Science : Information and Decision Sciences , May 1995 University of Illinois - City , State Information and Decision Sciences
Skills
ASP.net, Active Directory, Adobe Acrobat, Adobe Dreamweaver, Adobe Photoshop, application design, arts, billing systems, Business Objects,
business operations, C++, client server, Strong communication skills, hardware, Crystal Reports 9, databases, database development, database
development, Database Design, disaster recovery, forms, frame, functional, government, grants, help desk support, Help desk, HTML, computer
support, Leadership, marketing materials, Microsoft Access, Microsoft Office, Microsoft SharePoint, Windows, migration, Oracle database,
PL/SQL, personnel, personnel management, police, profit, Project Management, purchasing, report writing, reporting, Requirements gathering,
SAP, SDLC, servers, Software Development, Microsoft SQL Server, SQL, strategy, strategic planning, System administration, user manuals,
training materials, troubleshooting, upgrade, Visual Basic, Web Intelligence, web development, Windows Server, workflow
Affiliations
Quality-driven Information Technology Manager with over 10 years experience aligning business systems with business policies and guidelines
while managing IT support and application development operations. ","INFORMATION TECHNOLOGY MANAGER
Qualifications
Strong communication skills Web application design
Working independently HTML
Leadership Adobe Acrobat Professional
IT Governance Adobe Photoshop
Requirements gathering Adobe Dreamweaver
Software Development Life Cycle Windows Server 2008
principles (SDLC) Windows Server 2012
Project Management Active Directory
System administration SQL
Help desk administration Microsoft Office
Database Design SAP Business Objects/Web Intelligence
Microsoft SharePoint ASP.net, business operations, C++, database development, disaster recovery, forms
development, grants development, HTML, computer support, marketing materials, Microsoft
Access, Microsoft SQL Server, Oracle database, PL/SQL, personnel management, purchasing,
report writing, requirements gathering, SQL, strategic planning, user manuals, training materials,
troubleshooting, upgrade, web development, workflow
Experience
Information Technology Manager
April 2005 to Current Company Name - City , State
Managed computer support staff of college serving over 150+ employees Responsible for planning and implementation of major
modifications/upgrade to the entire computing environment of the college Involved in IT Governance efforts of the campus to develop
infrastructure and security policy Overseen help desk support which included troubleshooting hardware, software and Windows servers
Managed multiple projects (varying in scope, time frame and difficulty) to develop applications or other IT solutions for various needs of the
Faculty, staff and students.
 ",0.40239725,0,0,0
553,BANKING CENTER MANAGER,"Education
Bachelor of Arts : Corporate Fitness , 2005 Minot State ï¼​ City , State
Minor in Business Management
Associates : Business Admin , 1999 Frank Phillips College ï¼​ City , State
Business Admin
Skills
banking, coach, coaching, Credit, clients, delivery, financial, general manager, leadership, managing, Market, selling, sales
 ","Seeking a fulfilling position that offers growth opportunities and allows me to utilize my leadership skills and experience.
 Highlights
Friendly
Exceptional customer service
Energetic
Sales expertise
Approachable
Reliable
Flexible
Excellent communication skills
Team player
Strong work ethic
Organized
Accomplishments
Consistently achieved a quarterly goals
Consistently helped associates development for new roles(promotions)
Selected to Market leadership team for Financial Center Managers
Experience
Banking Center Manager
August 2012 to Current Company Name ï¼​ City , State
Banking Center Manager is responsible for managing a consumer banking center.
 BCM is responsible for leading, managing and coaching a team of sales and service professionals to meet and exceed sales targets, ensure
the operational excellence of the banking center and create an excellent customer experience.
 PB helps to create an excellent customer experience.
 ",0.4911808,0,1,0
554,SENIOR ADVISOR AND NATIONAL FUNDRAISING DIRECTOR,"Legislative Intern City
Education
Bachelor of Arts : US History Emory University - City , State
summa cum laude
Certificate in Gender and Sexuality
Diversity and Inclusion in the Workplace
Four-week course offered by
University of Pittsburgh
Certificate in Spanish Language and Universidad De Salamanca - City
Work History
Senior Advisor and National Fundraising Director , 09/2020 to 12/2020
City , State
Created project plan to implement a new business strategy and organizational structure to optimize workflow, leading team to raise
$2.25MM in two months, the largest congressional raise in the country over that period.
 ","SENIOR ADVISOR AND NATIONAL FUNDRAISING DIRECTOR
Professional Summary
I am an agile and hungry project manager with nearly five years of experience leading cross-functional teams in the political campaign world. My experience embedding on a new campaign every few months has
made me an expert at drinking from the fire hose. Skills
Excel and Google Sheets Marketing
Familiarity with multiple CRM Marketing and Communications
Databases Excel
Budgets Money
Budget Organizational
Business Development Problem Solver
Business strategy Project Management
CRM Sales
Databases Spanish
Direct mail Spanish Language
Fundraising Strategy
Legal Website
Litigation Workflow
Work History
Senior Advisor and National Fundraising Director , 09/2020 to 12/2020
City , State
Created project plan to implement a new business strategy and organizational structure to optimize workflow, leading team to raise
$2.25MM in two months, the largest congressional raise in the country over that period.
 ",0.6958354,0.428335249,0,0
555,MANAGER FIELD,"Coding
Knowledgeable in ICD-10
Education
B.S : ","Sociology , June 1995 Albany State College Sociology
Experience
Manager Field
January 2014 to January 2016 Company Name ï¼​ City , State
Responsible for providing high quality client focused service and leadership direction to internal and external operations.
 ",0.3375987,0.530568501,0,0
556,SALES ASSOCIATE,"03/2015 to 03/2016
Vista Representative Company Name - City , State
Helped underemployed, unemployed, and undergraduates further theirÂ education through Continuing Education programs.
 Educational Background
2012
High School Diploma : ","Core Strengths
Approachable
Flexible
Dedicated team player
Reliable and dependable
Work Experience
04/2016 to Current
Personal Trainer & Fitness Instructor Company Name - City , State
Suggested exercise modifications to individual students to avoid strain and.
injury.
 TestingÂ
Helped with unemployment filing and weekly certification
02/2014 to 02/2015
Sales Associate Company Name - City , State
Team player mentality Fitness programming specialist Verbal/written communication Zumba instructor Time Management Nutrition
supplement familiarity Opened and closed the store, including counting cash, opening and closing cash registers and creating staff
assignments as well as shared product knowledge with customers while making personal recommendations to meet that specific need.
 ",0.3628802,0.563988253,0,0.085714286
557,FINANCE OFFICER,"Education
Completed US Individual Income Tax Course by H& R Block 1982 - Passed, Philippine CPA Board Exam : 1 1994
Bachelor of Science : Commerce Accounting , 1 1975
University of Batangas (formerly Western Philippine Colleges) - City
Commerce Accounting
1 1
Junior Philippine Institute of Accountants -
Affiliations
Philippine Institute of Certified Public Accountants Government Association of Certified Public Accountants 2
Skills
accounting, accounts payable, accounts payables, Assembly, bank reconciliation, brochures, budget analysis, budget, bi, CPA, Finance, financial,
financial statements, funds, general ledger, inventory, Law, logistics, Director, Excel, Microsoft Office, office, Power point, Publisher, Word, office
equipment, payroll, personnel, procurement, promotional materials, proposal, QuickBooks, San, sound, Tax, phone, annual reports
 ","FINANCE OFFICER
Professional Summary
To attain a full-time position in the accounting and finance field where I can utilize the concepts I have learned and the experience I have gained to
add value to the company. 25 years of work experience. Skills
Work History
Finance Officer , 01/1997 to 04/2014
Company Name â€“ City , State
Managed working funds of the office.
 ",0.48759723,0,0,0
558,PASSENGER SERVICE CONCOURSE MANAGER,"Experience
12/2013 to Current
Passenger Service Concourse Manager Company Name ï¼​ City , State
Maintain the appearance of equipment utilized throughout the dayÂ
Managing daily operation while driving safety policies
Directly responsible for overseeing 8 to 24 zone leaders
Communicated, trained and pushed operational changes as directed
Maintained healthy working environment while working in busy atmosphere
Maintained and provided daily schedule to dispatchers and senior leaders
Attended Delta shift briefing regularly in effort to communicate expectations for the day and address any possible concern raised by Delta
staff
Addressed overall concourse operation concerns
Fulfill customer request regularly, in a timely manner
Provide daily huddle and direction to staff in preparation for daily operation
Coach and counsel employeesÂ
Recognize employees
Diffuse situations
Challenge delays
Maintain effective operational performance
Revamp processes when necessaryÂ
Provide leadership to employees daily
Provide hands on team workÂ
Focus-drive on dress code policy and employee professionalism
Communicate daily with Client, management and key positioned employees involved in the daily operation
Drive customer satisfaction results
09/2012 to 11/2013
Cabin Service Manager Company Name ï¼​ City , State
Managed 10 to 14 team of 3 man employees
Managed up to 35 team leaders directly
Responsible for building 7 day schedule for employees
Responsible for coaching, counseling and documenting employees
Managed an entire concourse from the ramp
Communicated and managed dispatcher
Responsible for providing dispatcher with staff in effort to turn aircraft during day time turn operation
Responsible for managing processes regarding CBP
Responsible for controlling operation failures
Pushed safety policies regularlyÂ
â€‹
09/2010 to 09/2013
Cabin Service Supervisor Company Name ï¼​ City , State
Assistant manager in scheduling employees
Execute directives provided leadership
Support team leaders with assistant on aircraft as needed
Continuously provide safety patrol on the ramp and concourse daily
Held briefing to communicate information pasted down by management
Train employees to become team leaders and service aircraft
04/2007 to 03/2009
Cabin Service Supervisor Company Name ï¼​ City , State
Maintain the appearance of equipment utilized in operationsÂ
Assistant manager in scheduling employees
Execute directives provided leadership
Support team leaders with assistant on aircraft as needed
Continuously provide safety patrol on the ramp and concourse daily
Held briefing to communicate information pasted down by management
Train employees to become team leaders and service aircraft
Education and Training
2003
High School Diploma : ","Academics College Park High ï¼​ City , State , USA Academics
Technical Skills
9 months (2014) experience in CBP seal process/Admin office work
Compiling information for applications
Typing and submitting applications to CBP
Managing approved and rejected applicants
Handled weekly meeting with CBP-provided updated based of meeting to management
Maintained Red/Black seal count and list
Provided weekly seal list to HR and managementÂ
 ",0.48814145,0.450121948,0,0
559,BANKING BOOT CAMP PARTICIPANT,"BANKING BOOT CAMP PARTICIPANT
Summary
Recent graduate student with a bachelors in Economics and minors in Finance From Central Connecticut State University, Looking to get some
work experience by applying my education and experience.
 Supervisor Company Name ï¼​ City , State
10/2017 to Current
Sandwich Maker Company Name ï¼​ City , State
02/2017 to Current
Sandwich Maker Company Name ï¼​ City , State
Education and Training
May 2017
Bachelor of Arts : Economics Finance Central Connecticut State University ï¼​ City , State Economics Finance 3.26
Certifications
I am CPR and Western Union Certified.
 ","Experience
05/2017 to 05/2017
banking boot Camp participant Company Name ï¼​ City , State
02/2017 to Current
Sandwich Artist/Cashier Company Name ï¼​ City , State Took necessary steps to meet customer needs and effectively resolve food or service
issues.
 Work History
Company Name
06/2014 to 02/2017
Front End ",0.37625232,0.588529207,0,0
560,SENIOR INFORMATION TECHNOLOGY MANAGER,"Education
Bachelor of Science , Industrial Technology East Carolina University ï¼​ City , State , USA
Industrial TechnologyCoursework in [Course Name]
Associate of Arts , Business University of Phoenix/WIU
BusinessCoursework in Business Administration and Finance[Number] GPA
Certifications
Microsoft Certified Professional/Administrator CompTIA A+, Network+, Security + Novell Netware Engineer Citrix Administrator Red hat
Administrator CMA (Certified Management Accountant) conferred by Institute of Management Accountants (IMA)
Affiliations
VMware Users group
EMC Users group
Association of Information Technology Professionals
Leadership Development Program
Skills
3Com, A+, Active Directory, Backup, Bay networks, business systems, Cisco, Citrix, hardware, network systems, Clients, direction, Disaster
Recovery, Engineer, firewall, Hub, Macintosh, Microsoft Products, Microsoft Certified Professional, Exchange, Mail, Office, NT, Enterprise,
network security, Network, networks, Netware, Novell Netware, PC's, policies, presentations, Red hat, repairs, Reporting, servers, SQL,
software support, troubleshooting, upgrades
 ","SENIOR INFORMATION TECHNOLOGY MANAGER
Executive Summary
Results-focused Information Technology management professional offering Twenty-Two years of progressive leadership experience. Accomplished Manager with extensive experience in front-of-house and back-of-house operations. Core Qualifications
Operations management
Staff development
Change management
Cross-functional team management
Supervision and training
Sound judgment
Computer-savvy
Calm under pressure
Complex problem solving
Professional Experience
Senior Information Technology Manager Jan 2000 to Jan 2016
Company Name ï¼​ City , State
Program Manager that drove and finalized a major project initiative consisting of migrating 13,000 Exchange On-Premise mail
users/accounts to cloud based services (Office 365) Program Manager responsible for implementation and management of systems that
allow Asset/Lease Reporting, Enterprise Backup, Patch Management and Application Distribution to over 10,000 PC's globally utilizing
cloud based solutions.
 ",0.43993402,0,0,0
